BBG000BL30Y9|MovadoGroupInc
BBG000F369C7|EncoreCapitalGroupInc
BBG000BCQ4P6|AveryDennison
BBG000C8H633|MarathonOil
BBG000BQ8KV2|Nucor
BBG000BSS5C0|StifelFinancial
BBG00HQ77DS2|CargurusInc
BBG000BFXHL6|Mosaic
BBG000CC7LQ7|ZebraTechnologiesCorp
BBG000R8ZVD1|LululemonAthleticaInc
BBG000BHCYJ1|NektarTherapeutics
BBG000BC2KW8|KiteRealtyGroupTrust
BBG000PRQ0V9|VishayPrecisionGroupInc
BBG008HNS333|BaozunInc
BBG000C1FB75|IntercontinentalExchange
BBG000BGPTV6|Cummins
BBG000C75N77|ComericaIncorporated
BBG000PTLGZ1|LearCorp
BBG005XVXML5|ShockwaveMedicalInc
BBG000VC0T95|WorkdayInc
BBG001D0HB36|FreshpetInc
BBG000HT5G06|QualysInc
BBG000GMGNB3|RBCBearingsInc
BBG000VPGNR2|CharterCommunications
BBG00KXRCDP0|Cigna
BBG009H04M17|PlanetFItnessInc
BBG000QTFDQ4|AtkoreInternationalGroupInc
BBG000QXSSS6|RoyalDutchShell(A)
BBG000TVRB50|LendingTreeInc
BBG000BNPSQ9|Incyte
BBG00JHNJW99|Twenty-FirstCenturyFox(A)
BBG002ZCK2V9|ShutterstockInc
BBG001Y04TN6|VaronisSystemsInc
BBG000PV27K3|ExtraSpaceStorage
BBG000D0FNV3|WESCOInternationalInc
BBG00KHGQ0H4|HeadHunterGroupPLC
BBG00RP60KV0|OtisWorldwide
BBG000H556T9|Honeywell
BBG000C1BW00|LockheedMartin
BBG000P1B7C8|ProvidenceServiceCorpThe
BBG000BG7L34|RayonierInc
BBG00M4RHBD0|RevolveGroupInc
BBG000BCJ161|SareptaTherapeuticsInc
BBG000N7KJX8|DocuSignInc
BBG00KMYC574|PluralsightInc
BBG000F61RJ8|AECOM
BBG000R4Y9C1|AvalaraInc
BBG005CPNTQ2|KraftHeinz
BBG000N7MZ06|HubSpotInc
BBG000R3RKT8|BioTelemetryInc
BBG000BNJHS8|SouthwestAirlines
BBG000BKTXF2|BeaconRoofingSupplyInc
BBG000QKNLB2|RedRiverBancshares
BBG001M8HHB7|TripAdvisor
BBG000BNPS52|TrimbleInc
BBG000BD2NY8|Brown-Forman
BBG000DQBZJ7|AdtalemGlobalEducationInc
BBG00H1CY328|PetIQInc
BBG000BQDF10|LeviStrauss&Co
BBG000BGTX98|MobileMiniInc
BBG000NSCNT7|PrincipalFinancialGroup
BBG00333FYS2|IQVIAHoldingsInc
BBG004M9ZHX5|LyftInc
BBG000CTM4J9|Carter’sInc
BBG000BPXVJ6|RepublicServices
BBG000BNTW77|PRAGroupInc
BBG000BK67C7|GeneralDynamics
BBG000TRJ294|AmericanWaterWorks
BBG009S39JX6|AlphabetClassA
BBG000C22QV7|SealedAir
BBG000BKXBV7|ArenaPharmaceuticalsInc
BBG000F7RCJ1|AdvanceAutoParts
BBG001BP77C3|QADInc
BBG000C1XVK6|EverestReGroup
BBG000BQC9V2|NewellBrands
BBG000BHB3M6|Dover
BBG000D898T9|CardinalHealth
BBG000BXNJ07|CypressSemiconductorCorp
BBG000BBVJZ8|DevonEnergy
BBG006JS5785|CareDxInc
BBG000BP4MH0|Marsh&McLennan
BBG000BL9C59|Macerich
BBG00B6WH9G3|MatchGroupInc
BBG000BNHSP9|JefferiesFinancialGroup
BBG000BP8Z50|MotorolaSolutions
BBG0035LY913|NewsCorp(A)
BBG00B6G7GL7|AxsomeTherapeuticsInc
BBG000DBVBY4|EatonVance
BBG000J0D904|BigLotsInc
BBG001J2M542|VeracyteInc
BBG000BBQCY0|AMD
BBG000BP30Y0|Evercore
BBG001B4BV87|FortuneBrandsHome&Security
BBG000BPBVW5|CognexCorp
BBG00FYCQ352|ProPetroHoldingCorp
BBG000K82ZT8|CheckPointSoftwareTechnologiesLtd
BBG000BKQG80|IACInterActiveCorp
BBG000BCMBG4|FortinetInc
BBG000BLCPY4|Helmerich&Payne
BBG00K53L394|EquitransMidstreamCorporation
BBG000BX2YN2|WolverineWorldWideInc
BBG000BHFHP8|DomtarCorp
BBG00MJDR6J9|LegacyHousingCorp
BBG00HY28P97|GarrettMotionInc
BBG000C04224|CBREGroup
BBG000BCFNR4|ChinaEasternAirlines
BBG006B6PVN9|CDKGlobal
BBG006Q52RD0|LantheusHoldingsInc
BBG000DCGRL8|IPGPhotonicsCorporation
BBG000CMRVH1|AluminumCorpofChina
BBG000BJX8C8|NationalOilwellVarco
BBG000BR2TH3|Procter&Gamble
BBG000BFD605|CentralGarden&PetCo
BBG000BZX1N5|Assurant
BBG000BLF8D2|HormelFoods
BBG000FV28W9|GrandCanyonEducationInc
BBG00JRH1P95|CactusInc
BBG00GQK3WB5|SmartsheetInc
BBG000GW06J7|EmergentBioSolutionsInc
BBG000Q3JN03|RegionsFinancial
BBG000BF8CN3|AndersonsInc
BBG000NJGX84|AddusHomeCareCorp
BBG00R4ZKPN5|Natura&CoHoldingS.A.
BBG000R7RDB4|ConchoResources
BBG000FFDM15|USBancorp
BBG000BKCFC2|GeneralMills
BBG001P63B80|CDWCorp
BBG000BL9JQ1|HollyFrontier
BBG000D9V7T4|Aaron’sInc
BBG000BKYVF0|HealthcareServicesGroupInc
BBG000FX3Y66|PGTInnovationsInc
BBG003PS7JV1|Allegion
TCS000C8NJ10|PolyOneCorp
BBG000BX57K1|DentsplySirona
